station_id,free bikes,empty slots,total bike slots,average rating,total ratings,average popularity,restaurant_count,bar_count,cafe_counts,bakery_counts,coffee_counts
71,1,15,16,7.648,2338.0,0.8236549658018201,21,2,3,3,1
72,0,14,14,7.634285714285714,2296.0,0.8191730258323442,12,4,10,3,1
73,0,12,12,7.796,6364.0,0.8817774574642473,25,2,6,1,0
74,0,31,31,7.328571428571429,566.0,0.76436040924764,8,0,8,5,2
75,0,14,14,7.854,5326.0,0.8837878017070827,21,4,3,2,0
76,18,3,21,8.44,14460.0,0.8829249335820474,19,13,3,1,1
77,6,8,14,7.68,5575.0,0.8516836244418066,22,1,5,3,0
78,19,3,22,7.695744680851064,6202.0,0.8035147815273302,20,3,2,1,1
79,1,11,12,7.6812499999999995,14410.0,0.8547043694533945,18,3,3,4,2
80,3,11,14,7.475510204081633,3142.0,0.8767483466169239,21,3,3,5,2
81,19,11,30,8.314,10636.0,0.8746585834605166,19,11,3,1,1
82,11,1,12,7.28695652173913,2544.0,0.8373291504154655,22,2,8,1,0
83,35,5,40,8.316,12417.0,0.9319552314736306,19,9,3,1,1
84,11,7,18,8.576,8494.0,0.9184749307557516,23,4,6,1,2
85,1,19,20,7.3,2573.0,0.875354417500424,15,1,7,3,1
86,2,8,10,8.148,4377.0,0.9067181052512577,15,6,7,3,0
87,5,25,30,7.976,7370.0,0.8530721835961788,19,3,3,3,1
88,9,32,41,7.2250000000000005,2084.0,0.8249576055621504,24,2,8,2,3
89,3,13,16,8.271999999999998,8380.0,0.8707837318410491,23,7,7,0,2
90,0,32,32,7.968421052631579,4356.0,0.7477765530495732,16,7,2,1,2
91,4,6,10,7.729545454545455,2497.0,0.8599214289751852,22,1,0,5,4
92,1,15,16,7.722,2958.0,0.7746537787575604,26,2,2,3,3
93,5,5,10,7.530612244897959,2385.0,0.821954948844045,20,2,6,5,0
94,2,18,20,7.6553191489361705,2880.0,0.8551636425301001,32,0,4,1,1
95,4,10,14,7.626530612244898,2906.0,0.888968967271494,24,3,4,4,1
96,8,3,11,7.86875,7706.0,0.8307961675428185,12,2,6,1,1
97,0,17,17,7.32,8347.0,0.7856291334576904,13,0,1,1,3
98,0,25,25,7.768,4587.0,0.9279560228364706,18,0,7,1,1
99,3,37,40,7.963636363636363,7496.0,0.8324340059917472,13,1,3,1,2
100,3,17,20,7.3925,3157.0,0.8350969419478831,16,0,5,2,1
101,3,29,32,7.565789473684211,1763.0,0.7398154428805607,19,1,6,0,1
102,0,20,20,8.156,7291.0,0.8616044881578203,25,0,6,4,0
103,8,4,12,7.430000000000001,2143.0,0.7691114125826691,16,2,8,6,2
104,3,16,19,7.578048780487805,1899.0,0.793219402207023,21,2,3,2,2
105,3,8,11,7.483333333333333,5760.0,0.8062008931094907,16,3,6,2,0
106,14,12,26,7.416666666666667,632.0,0.646981601856634,14,3,2,0,0
107,4,16,20,7.366666666666666,1463.0,0.7831292747724832,17,2,7,3,1
108,3,22,25,7.188,882.0,0.7524145045503363,15,1,4,2,0
109,2,15,17,7.324242424242425,7357.0,0.8464659996608446,9,0,6,3,1
110,1,15,16,8.012,8125.0,0.8744607427505511,16,0,3,2,3
111,17,0,17,8.27,5632.0,0.8226335424792266,26,10,1,1,5
112,2,15,17,7.423404255319149,1968.0,0.843563111186479,16,0,4,3,4
113,3,11,14,7.684,2920.0,0.8344692216381211,16,2,5,4,2
114,12,9,21,8.374,10537.0,0.8797298061161043,20,12,5,2,2
115,4,11,15,7.38125,1730.0,0.7518085467186705,17,3,4,0,1
116,6,17,23,7.6579999999999995,5434.0,0.8792261601944492,22,1,5,3,1
117,0,19,19,7.6579999999999995,4376.0,0.8301144649821943,25,2,3,4,0
118,2,18,20,7.643243243243243,5623.0,0.8169193375162511,13,3,5,1,2
119,0,16,16,8.172,6282.0,0.8670589565315697,29,5,5,2,2
120,2,14,16,7.547999999999999,3801.0,0.8496518003504606,25,3,2,1,0
121,8,6,14,7.515909090909091,2713.0,0.7967839579447177,21,2,2,2,2
122,7,15,22,7.3566666666666665,1056.0,0.7019001187044259,13,2,9,2,1
123,1,15,16,7.78,5298.0,0.8593426035837431,24,1,6,4,0
124,4,16,20,7.293333333333334,394.0,0.7383151587056496,13,2,4,0,0
125,2,18,20,7.5377777777777775,5894.0,0.7506022836470521,22,1,3,1,1
126,3,7,10,7.316666666666667,2262.0,0.7419108586286812,23,1,4,3,2
127,6,4,10,7.746,2639.0,0.8579995477926629,14,1,4,3,2
128,5,5,10,7.378048780487805,1319.0,0.803452603018484,13,1,7,6,3
129,3,7,10,7.588095238095238,2614.0,0.7693855632807644,18,2,4,3,2
130,5,18,23,7.636,2135.0,0.8321279181504719,15,1,5,4,3
131,6,17,23,7.369047619047619,1907.0,0.8707342911981583,25,0,6,4,2
132,2,23,25,7.068181818181818,835.0,0.8194025210559042,11,1,1,1,0
133,0,16,16,7.375,1011.0,0.7665459838335877,12,0,4,4,2
134,16,4,20,7.188888888888889,738.0,0.7531942795771862,15,1,4,3,0
135,3,13,16,7.718181818181819,987.0,0.7073388485432269,13,1,2,0,0
136,1,14,15,7.394444444444444,2703.0,0.8563925159685717,13,4,7,4,1
137,3,8,11,8.078,6897.0,0.8716101407495337,20,6,4,0,3
138,1,16,17,7.296875,1952.0,0.7329113673619355,18,2,6,1,0
139,3,24,27,7.935714285714285,892.0,0.7282889749822088,7,0,2,0,2
140,1,19,20,7.784375,1633.0,0.7900471991408061,16,0,2,5,5
141,1,26,27,7.490322580645161,2177.0,0.758058617376067,17,3,5,6,1
142,17,5,22,7.9639999999999995,14893.0,0.8807328585156294,16,4,4,4,2
143,3,11,14,7.787999999999999,2527.0,0.814072692329433,24,5,1,4,1
