station_id,free bikes,empty slots,total bike slots,average rating,total ratings,average popularity,restaurant_count,bar_count,cafe_counts,bakery_counts,coffee_counts
79,1,11,12,7.5175,11152.0,0.8304175381078891,15,3,2,4,2
80,3,11,14,7.145454545454545,472.0,0.84527090045786,6,0,1,0,0
82,11,1,12,7.154166666666666,582.0,0.8083312136114408,13,1,5,0,0
83,35,5,40,8.168,2519.0,0.8985862868125035,9,6,1,0,1
84,11,7,18,8.385714285714286,536.0,0.9467101916228591,3,1,0,0,1
85,1,19,20,6.770588235294118,733.0,0.9041020151489457,8,0,4,1,1
86,2,8,10,8.14,963.0,0.8628652987394719,1,0,0,1,0
87,5,25,30,8.22857142857143,857.0,0.9744563418041458,2,1,1,0,0
88,9,32,41,6.934615384615385,1300.0,0.7875554155866179,15,1,6,1,3
89,3,13,16,8.293333333333333,1307.0,0.9168070393608804,7,2,2,0,1
90,0,32,32,7.872727272727274,3269.0,0.718475163509528,9,4,1,0,1
91,4,6,10,7.627777777777778,853.0,0.8731346447346109,10,0,0,2,2
92,1,15,16,7.4,158.0,0.6879204115086768,4,1,0,0,0
93,5,5,10,8.225000000000001,290.0,0.7927653891809394,3,0,0,0,0
94,2,18,20,7.1875,171.0,0.7968727036346165,6,0,2,0,0
95,4,10,14,7.045454545454546,762.0,0.9017438245435532,6,1,3,1,0
96,8,3,11,7.216666666666666,882.0,0.7722302300604827,8,1,1,0,1
97,0,17,17,7.270833333333333,6078.0,0.7767670826032069,13,0,1,1,3
98,0,25,25,7.490909090909091,442.0,0.8703719405347351,3,0,1,0,0
99,3,37,40,7.35,523.0,0.7729386519873208,2,0,2,1,0
100,3,17,20,7.1000000000000005,544.0,0.9279918004169618,4,0,2,1,1
101,3,29,32,7.575,65.0,0.7723378311813108,2,0,0,0,0
102,0,20,20,8.076470588235296,2910.0,0.9524400908404739,7,0,4,2,0
103,8,4,12,6.9799999999999995,201.0,0.6940534735176078,7,1,3,2,0
104,3,16,19,7.666666666666667,308.0,0.7789302784215452,4,1,0,1,1
105,3,8,11,7.5,611.0,0.7915902282105436,5,1,1,0,0
106,14,12,26,8.0,167.0,0.6680719637731678,5,1,1,0,0
107,4,16,20,6.9,164.0,0.7618865928599691,3,0,1,0,0
108,3,22,25,6.9625,508.0,0.7153890321870472,6,0,2,1,0
109,2,15,17,6.5307692307692315,611.0,0.7996221459847033,6,0,5,3,1
110,1,15,16,7.936363636363636,5629.0,0.8724248590706111,10,0,3,1,2
111,17,0,17,8.253333333333334,673.0,0.8687176153599759,6,3,0,1,3
113,3,11,14,7.525806451612904,1264.0,0.7696418444953785,9,1,4,3,1
115,4,11,15,6.858333333333333,395.0,0.7412332765099113,9,3,2,0,0
116,6,17,23,7.6,3768.0,0.8817644066274974,15,1,4,2,0
118,2,18,20,7.24,104.0,0.877547199140806,3,0,2,0,0
119,0,16,16,8.076,3697.0,0.8133649878469278,15,2,3,1,0
120,2,14,16,7.332432432432433,2819.0,0.8545492669199639,18,2,2,1,0
121,8,6,14,7.066666666666666,44.0,0.5346766313783441,4,0,0,0,0
122,7,15,22,7.359999999999999,216.0,0.7871601379232378,3,0,0,0,0
123,1,15,16,7.756818181818182,5134.0,0.8701606106854538,21,1,5,3,0
125,2,18,20,7.76,164.0,0.628134362105025,4,1,1,0,0
126,3,7,10,7.042857142857143,346.0,0.8117051042903172,3,0,1,0,0
127,6,4,10,7.557894736842105,984.0,0.8366326618649387,3,0,2,1,1
128,5,5,10,7.2,103.0,0.6906223503476344,3,0,0,0,0
129,3,7,10,7.75,389.0,0.3823570051312971,4,0,0,0,0
130,5,18,23,7.44,1054.0,0.8077152224294839,4,0,4,2,2
131,6,17,23,7.575,169.0,0.781210381388438,6,0,1,0,0
132,2,23,25,7.566666666666666,84.0,0.8024101237917585,0,1,1,0,0
133,0,16,16,6.9,98.0,0.8021914070328517,3,0,0,0,0
134,16,4,20,6.45,51.0,0.9424377743862227,2,0,0,0,0
135,3,13,16,8.5,148.0,0.7448097095375372,2,1,0,0,0
136,1,14,15,7.24,258.0,0.8071849579395789,2,3,1,0,0
137,3,8,11,7.823076923076924,3786.0,0.8771191783740537,5,1,1,0,0
138,1,16,17,7.005,529.0,0.7067734673995085,13,2,4,1,0
141,1,26,27,7.4625,487.0,0.7815988708948053,9,1,2,0,0
142,17,5,22,7.793333333333333,1035.0,0.9233084619297948,5,1,1,1,0
143,3,11,14,7.54375,350.0,0.8406348920354982,9,2,0,0,0
144,0,10,10,9.033333333333333,3110.0,0.966453438345926,5,0,0,0,0
145,0,16,16,7.1,10.0,0.9051636425301,1,0,1,0,0
146,1,23,24,7.75,206.0,0.8357982670768832,1,0,0,0,1
147,5,12,17,7.975,999.0,0.866750748968402,1,1,1,0,0
148,17,7,24,6.88,108.0,0.7826307632883011,7,0,0,0,0
149,0,20,20,8.2,25.0,0.7180267430394613,0,0,2,0,0
151,0,10,10,7.98,4175.0,0.8465971397885932,11,0,0,0,2
152,19,8,27,7.3,371.0,0.7872851876764644,12,0,1,1,0
153,8,23,31,7.334042553191489,2760.0,0.7844225170990899,24,1,2,4,3
154,4,7,11,8.125,1670.0,0.9021112430049177,5,0,1,0,0
155,5,15,20,7.95,86.0,0.8327610084223617,2,0,0,0,0
156,14,8,22,8.68888888888889,9961.0,0.8460618707566308,4,4,0,2,2
157,1,16,17,7.677551020408163,3166.0,0.7848041030894298,28,3,4,4,1
158,1,19,20,7.833333333333333,406.0,0.8576649143632356,5,0,0,1,0
159,3,7,10,7.955555555555555,770.0,0.9097029877087535,5,2,0,0,0
160,1,16,17,6.640000000000001,334.0,0.7332619051289562,3,0,2,0,0
161,3,13,16,8.09,1279.0,0.8141458565273917,8,0,1,0,1
