name,rating,total num ratings,popularity,distance,veracity,category,station_id
Cantinbar - HSM,N/A,{},0.0453620484992369,444,2,Snack Place,1
Sam Croissants,7.7,34,0.9630320501950144,744,4,"Restaurant, Pastry Shop, Sandwich Spot",1
Secretária Hsm,N/A,{},0.9196060143575829,449,3,Hospital,1
Akiafesta,N/A,{},0.8544598948617941,468,4,Arts and Entertainment,1
Entre Nós - Petiscar e Conversar,8.1,78,0.8681956927251144,818,5,"Portuguese Restaurant, Café, Food and Beverage Retail",1
Serviço de Cirurgia 2,N/A,{},0.8963738624159177,480,3,Hospital,1
Sala de Alunos AEFML,N/A,{},0.9494093041659601,492,4,Breakfast Spot,1
Huang He,8.0,116,0.9918743994121305,836,5,"Chinese Restaurant, Asian Restaurant",1
Campo Grande,N/A,{},0.46447346108190607,498,2,Neighborhood,1
Taberna Londrina,7.3,9,0.9755666723192584,780,3,Portuguese Restaurant,1
Alecrim aos Molhos,7.7,8,0.9313916680798145,846,5,Coffee Shop,1
Dom Queijo,7.2,19,0.05962071109603753,768,5,"Cheese Store, Theme Restaurant, Tapas Restaurant",1
Tommy Hilfiger,N/A,{},0.3046888248261828,526,2,Clothing Store,1
Carvoeiro de Palma,8.6,199,0.930685094115652,945,5,BBQ Joint,1
Restaurante Santa Maria,7.0,29,0.9635549149284948,756,5,BBQ Joint,1
O Jacinto,8.6,57,0.9305579108021028,958,5,Mediterranean Restaurant,1
ITAU - Refeitório 2Piso,N/A,{},0.037674523769148156,548,1,Bistro,1
A-100,7.0,12,0.8727177660957549,764,4,Burger Joint,1
American Music Burguer,N/A,{},0.8759538748516195,557,1,American Restaurant,1
Canto das Tapas,7.1,10,0.904767961110169,792,4,Tapas Restaurant,1
Astrolábio Restaurant,7.1,10,0.15687355152337346,805,3,Restaurant,1
Restaurante Bordalo Pinheiro,7.7,8,0.9640636481826917,896,4,Portuguese Restaurant,1
Restaurante Camponesa,7.5,10,0.9544259793115143,876,4,Restaurant,1
Chez Moi,7.3,12,0.32362500706573966,832,2,Café,1
Volver de Carne Y Alma,8.8,131,0.9673421513764061,78,5,Argentinian Restaurant,2
Frangos do Rei,7.9,31,0.9121163303374598,66,4,"BBQ Joint, Portuguese Restaurant",2
Volver,7.2,11,0.28402860211406933,70,1,Restaurant,2
A Padaria Portuguesa,8.2,41,0.953790062743768,152,3,Bakery,2
O Trenó,8.5,59,0.927477248318354,211,5,Bakery,2
Mr. Pizza,N/A,{},0.8971652252557798,26,3,"Pizzeria, Italian Restaurant",2
Pirilampo do Lumiar,N/A,{},0.8772257079871121,45,3,Restaurant,2
Parque da Quinta das Conchas,9.2,233,0.9934005991747216,375,4,"Park, Playground",2
Restaurante Tipiky,8.3,12,0.8851110734271663,431,4,Portuguese Restaurant,2
Praça Rainha Dona Filipa,7.6,11,0.9117630433553784,423,4,Plaza,2
Pingo Doce,5.6,17,0.9503843762365044,196,5,Supermarket,2
Centro de Saúde do Lumiar,N/A,{},0.20564128652987396,194,3,Medical Center,2
CineConchas,7.6,11,0.9362387654739698,474,4,Indie Movie Theater,2
Sumo,6.2,37,0.9247922672545362,310,4,Japanese Restaurant,2
Restaurante O Conchas,6.3,11,0.9529704369453394,345,5,Restaurant,2
Continente,8.5,14,0.9980639873381946,598,4,Supermarket,2
O Conchas - Cafetaria,6.3,19,0.9329461308009722,369,4,Café,2
Rolote Os Putos,N/A,{},0.5081962579842858,299,3,Food Truck,2
Finanças do Lumiar,N/A,{},0.9497767226273246,300,3,Government Building,2
Mouras Shopping Center,5.8,13,0.955923916115539,352,4,Miscellaneous Store,2
Tasca do João,8.3,45,0.9415239387259058,686,5,Portuguese Restaurant,2
Supermercados Europa,5.7,9,0.8195834039907297,372,4,"Supermarket, Miscellaneous Store",2
Aldi,7.1,32,0.9718642247470465,567,5,"Supermarket, Grocery Store",2
Café Barao,N/A,{},0.48959923124752697,363,4,Café,2
Taberna A Preciosa,7.2,52,0.9077073088010853,580,5,Tapas Restaurant,2
Lar Militar da Cruz Vermelha,N/A,{},0.22097394155220168,375,2,Assisted Living,2
Largo do Paço do Lumiar,7.4,13,0.9713413600135662,618,2,Plaza,2
O Arranhó,N/A,{},0.902577581821265,382,4,Portuguese Restaurant,2
Cafetaria Museu do Teatro,7.5,10,0.8704849923690012,641,4,Café,2
Pavilhão João Rocha - Sporting Clube Portugal,8.6,22,0.9877338759821378,746,3,"Soccer Stadium, Soccer Field, Sports Club",2
Quinta Dos Lilases,N/A,{},0.04490984116217286,394,3,Park,2
Hanaya,8.1,23,0.8604233791193262,726,4,"Japanese Restaurant, Sushi Restaurant",2
Princesa do Lumiar,7.9,34,0.9300915719857554,711,4,Bakery,2
Restaurante Saltitão,N/A,{},0.03158385619806681,398,4,Restaurant,2
Rota do Pão,7.6,41,0.961152563450342,679,5,Bakery,2
Farmácia Alameda,N/A,{},0.16822112938782433,408,3,Pharmacy,2
Jazz Café,7.2,8,0.8682522186422474,644,5,Restaurant,2
Colégio São João de Brito,N/A,{},0.9767537165790515,419,4,High School,2
Restaurante Toledo,7.0,16,0.882115199819117,624,5,Restaurant,2
Mercado do Lumiar,N/A,{},0.9247216098581199,422,3,Shopping Mall,2
MyAuchan,N/A,{},0.9668758125600588,424,2,Grocery Store,2
Parque Botânico do Monteiro-Mor,7.0,14,0.8954411847832231,629,4,"Park, Garden",2
Alta Spot Café,6.8,27,0.9461308009722458,596,4,"Coffee Shop, Café",2
Petiscaria da Terra,N/A,{},0.7842264428240349,438,4,Restaurant,2
Igreja - Colégio São João de Brito,N/A,{},0.8948052682154768,455,3,Church,2
Samurai,7.3,81,0.9620004522073371,739,5,"Sushi Restaurant, Japanese Restaurant",2
Museu Nacional do Traje,6.6,25,0.8715165903566785,629,5,Art Museum,2
Pau Li,6.6,10,0.9017438245435532,637,3,Chinese Restaurant,2
Alta de Lisboa - Sul,N/A,{},0.6332315866824939,518,3,Structure,2
Museu Nacional do Teatro,6.8,21,0.8629670453903114,694,4,Museum,2
Além Tejo,6.2,32,0.958792606410039,12,4,"BBQ Joint, Portuguese Restaurant",3
Guto Café,7.6,13,0.757645130292239,192,4,Café,3
Domino's Pizza,7.5,22,0.9181080775535583,194,4,Pizzeria,3
O Pomar da Rosa,7.8,8,0.9343027528121643,240,4,Supermarket,3
MAR,7.7,8,0.18678989316601663,237,3,Seafood Restaurant,3
Clinica Medica e Dentaria do Parque das Nações,N/A,{},0.9116075970832627,53,3,Medical Center,3
Ceifeira Real,7.8,37,0.9640919111412583,296,4,Café,3
Parque do Tejo,9.0,216,0.98161494545249,380,3,Park,3
Parque das Nações Norte,N/A,{},0.961661296704539,94,3,Housing Development,3
A Padaria Portuguesa,8.0,62,0.9921146345599458,353,5,Bakery,3
Hospital Veterinario Vasco da Gama,N/A,{},0.9367898931660166,99,4,Veterinarian,3
Luzzo Expo,8.5,32,0.9368040246452999,420,4,Pizzeria,3
Passeio do Tejo,8.9,163,0.8775366005313436,455,4,Park,3
Hamburgueria do Bairro,8.1,218,0.938838957662088,431,4,Burger Joint,3
40 Esquadra da PSP,N/A,{},0.10872760160533605,159,3,Police Station,3
Flamingos do Tejo,N/A,{},0.8729580012435701,201,4,Structure,3
Sushinow,7.3,21,0.9651235091289356,426,4,Japanese Restaurant,3
Ten to Ten,N/A,{},0.7868548979707196,228,3,Grocery Store,3
Café Contra Senso,N/A,{},0.6589650104572947,232,3,Coffee Shop,3
Il Pizzarium,8.3,51,0.8835566107060087,560,5,"Italian Restaurant, Pizzeria, Ice Cream Parlor",3
Parque Aranha,N/A,{},0.44215985529365215,252,3,Other Great Outdoors,3
Delícias & Desejos,7.8,54,0.9436619718309859,534,4,Café,3
Esplanando,7.9,71,0.9672290995421401,558,4,Café,3
Rossio do Levante,N/A,{},0.8615397659827031,281,3,Plaza,3
Kids Club Expo,N/A,{},0.27440506472217513,293,4,Children's Clothing Store,3
Tappas Caffé,7.8,75,0.9018568763778192,572,4,Portuguese Restaurant,3
Pão Quente,N/A,{},0.04027471595726641,300,2,Bakery,3
Mimoso,7.2,17,0.9778672032193159,534,4,Restaurant,3
Rei dos Frangos,6.3,8,0.993963782696177,408,1,BBQ Joint,3
Hamburg,6.8,48,0.9196201458368662,481,5,Burger Joint,3
mx-tour,7.3,8,0.5485981572551014,568,4,Mexican Restaurant,3
Mercado,N/A,{},0.9798792756539235,358,3,Market,3
Lidl,7.7,41,0.9979879275653923,656,5,"Grocery Store, Supermarket",3
Supercor,7.9,96,0.9960997117178226,686,5,Supermarket,3
Vasco da Gama Tower (Torre Vasco da Gama),8.3,122,0.9951529026058448,734,4,Scenic Lookout,3
Saboreia Chá e Café,7.6,48,0.9427392459442654,676,4,Coffee Shop,3
River Lounge,8.9,53,0.9834096433214629,794,4,"Lounge, Hotel Bar, Cocktail Bar",3
Clube Tejo - Campo de futebol,N/A,{},0.8674043298852524,412,3,Soccer Field,3
Terreiro dos Radicais - Skate Park,8.6,31,0.9712283081793002,786,4,Skate Park,3
USF Tejo,N/A,{},0.02414486921529175,423,3,Medical Center,3
A Cascata,7.0,19,0.6116700201207244,643,4,Portuguese Restaurant,3
Portela Cafés,7.6,8,0.6237424547283702,734,4,Coffee Shop,3
A Leitaria Gourmet,5.7,50,0.8789356169803855,474,5,Restaurant,3
Tayybeh,8.1,10,0.9251879486744673,808,5,Syrian Restaurant,3
Arraial dos Navegantes,N/A,{},0.8752614323667401,481,1,BBQ Joint,3
Parque Infantil do Parque do Tejo,N/A,{},0.6334859533095925,487,4,Playground,3
Tize - Mestre kebab,7.2,11,0.9537223340040242,752,3,Middle Eastern Restaurant,3
Restaurante Kurika,N/A,{},0.8672032193158954,509,2,Restaurant,3
Mercado da carne,N/A,{},0.873904810355548,521,3,Deli,3
L’Origine by Chakall,8.3,16,0.9816856028489063,908,5,Pizzeria,3
Alcântara Café,7.6,10,0.8661748911876095,127,4,Night Club,4
Espaço Lisboa,6.6,30,0.5466762760725793,82,5,Portuguese Restaurant,4
Fun Track - Doca do Espanhol,8.5,25,0.9510626872421005,256,3,"Skating Rink, Skate Park, Hockey Field",4
Ler Devagar,9.3,376,0.994884404499463,285,5,Bookstore,4
Geladaria Artisani,8.2,30,0.8819314905884348,254,4,Ice Cream Parlor,4
O Bolo da Marta,8.6,37,0.4166101407495337,275,4,"Bakery, Dessert Shop",4
Doca de Santo,8.5,170,0.9692216381210785,279,5,Portuguese Restaurant,4
Bairro Arte,8.6,37,0.9696879769374258,286,4,"Gift Store, Arts and Crafts Store",4
Landeau Chocolate,9.0,203,0.9705358656944209,302,5,Dessert Shop,4
Pingo Doce,6.6,62,0.9823780453337856,118,5,Supermarket,4
LX Factory,9.2,2534,0.9994206093493867,312,5,"Arts and Entertainment, Bar",4
Divinos Prazeres,7.1,59,0.8853513085749817,191,5,Pizzeria,4
Gelados Italianos do Chef Nino,8.3,62,0.20561302357130745,298,4,Dessert Shop,4
Fábrica do Pão,6.8,8,0.9271946187326889,169,3,Bakery,4
Restaurante Museu do Oriente,6.3,11,0.3785823299983042,109,5,Portuguese Restaurant,4
Paradise Garage,8.0,32,0.33487366457520773,289,5,"Concert Hall, Night Club",4
1300 Taberna,8.4,175,0.9521366796676276,323,5,Portuguese Restaurant,4
The Therapist,7.4,38,0.24698999491266746,250,4,Café,4
Alcântara 50,8.3,40,0.7193205584760612,322,4,Portuguese Restaurant,4
Rui dos Pregos,8.2,154,0.9901362274602905,323,5,"Steakhouse, Bar",4
Oh! Brigadeiro,7.5,17,0.6044316319032277,272,4,Cupcake Shop,4
Quotidiano,6.9,47,0.892007235317393,213,5,Mediterranean Restaurant,4
Espaço Brasil,7.6,10,0.8674608558023854,293,3,Music Venue,4
Books,6.3,14,0.7624357017692612,146,4,Night Club,4
Grelhados de Alcântara,8.4,54,0.7903877677915324,360,4,BBQ Joint,4
Village Underground,8.0,142,0.9611384319710587,342,5,Café,4
Cucurico,7.6,16,0.8014809790288847,317,3,"BBQ Joint, Fried Chicken Joint, Portuguese Restaurant",4
Puro Acaso,7.1,13,0.781880617263015,261,4,Restaurant,4
BI+CA,7.0,36,0.9085551975580803,253,4,Coffee Shop,4
Cantina LX Factory,7.5,236,0.9821660731445367,319,5,Portuguese Restaurant,4
Museu do Oriente,8.4,195,0.9851336837940196,388,5,"Museum, Art Museum",4
Banthai,6.3,11,0.30456164151263354,180,4,Thai Restaurant,4
Matchamama,7.7,10,0.969136849245379,338,3,"Bar, Asian Restaurant, Peruvian Restaurant",4
Boro Godó,7.6,15,0.9112401786218981,332,4,Portuguese Restaurant,4
Bosq,6.9,28,0.40912045672941044,259,4,Night Club,4
Lisboa Atrevida,6.3,28,0.28357639477700525,187,4,Portuguese Restaurant,4
Largo do Calvário,7.0,48,0.9856282855689333,283,4,Plaza,4
O Maravilhas,6.8,14,0.9290458425187949,269,5,"Portuguese Restaurant, Café",4
Beers Factory,6.9,13,0.9704652082980046,287,4,Brewery,4
A Praça,7.1,224,0.9580012435701769,315,5,"Portuguese Restaurant, Italian Restaurant, Breakfast Spot",4
O Palácio,8.1,128,0.9812475269911254,410,5,Seafood Restaurant,4
Nepal Maya,7.2,53,0.25727771183087444,322,5,Indian Restaurant,4
